timestamp,user_id,action,device,location,time_of_day,behavior_context,access_granted,risk_score,auth_method,policy_type,role,session_validity,decision_latency_ms,blockchain_delay_ms,pet_ms,ai_override
2025-08-11T20:09:31.707050,evuser001,charge_request,tablet,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,User,valid,10.84,6.19,0.00,False
2025-08-11T20:09:31.724086,evuser010,view_usage,mobile,london,morning,normal,True,0.1,multi_policy,ABAC,User,valid,10.44,9.62,0.00,False
2025-08-11T20:09:31.744145,evuser017,view_usage,mobile,manchester,morning,normal,True,0.1,multi_policy,MAC,User,valid,10.64,9.23,0.00,False
2025-08-11T20:09:31.764015,evuser001,view_usage,tablet,birmingham,night,normal,True,0.30000000000000004,multi_policy,RBAC,Admin,valid,10.52,8.95,0.00,False
2025-08-11T20:09:31.783477,evuser_attacker_attacker_1929,charge_request,unknown_device,foreign,evening,anomalous,False,0.8,multi_policy,RBAC,User,spoof,10.17,10.20,0.00,False
2025-08-11T20:09:31.803845,evuser009,charge_request,dashboard,london,evening,normal,True,0.1,multi_policy,ABAC,User,valid,10.22,7.93,0.00,False
2025-08-11T20:09:31.821997,evuser012,access_battery,tablet,manchester,afternoon,normal,True,0.1,multi_policy,DAC,Admin,valid,10.48,9.99,0.00,False
2025-08-11T20:09:31.842470,evuser_attacker_attacker_592,alter_billing,unknown_device,unknown,morning,anomalous,False,0.8,multi_policy,MAC,User,odd_hour,10.43,8.15,0.00,False
2025-08-11T20:09:31.861046,evuser008,charge_request,mobile,london,morning,normal,True,0.1,multi_policy,RBAC,User,valid,10.60,5.91,0.00,False
2025-08-11T20:09:31.877550,evuser006,charge_request,mobile,manchester,morning,normal,True,0.1,multi_policy,ABAC,User,valid,10.11,8.76,0.00,False
2025-08-11T20:09:31.896412,evuser_attacker_attacker_1214,charge_request,unknown_device,foreign,afternoon,anomalous,False,0.8,multi_policy,RBAC,User,replay,10.51,9.91,0.00,False
2025-08-11T20:09:31.916829,evuser_attacker_attacker_503,override_control,unknown_device,foreign,morning,anomalous,False,0.8,multi_policy,ABAC,User,replay,10.16,10.17,0.00,False
2025-08-11T20:09:31.937158,evuser010,view_usage,mobile,birmingham,night,normal,True,0.30000000000000004,multi_policy,ABAC,Admin,valid,10.24,6.03,0.00,False
2025-08-11T20:09:31.953426,evuser009,charge_request,mobile,manchester,night,normal,True,0.30000000000000004,multi_policy,RBAC,User,valid,10.16,7.00,0.00,False
2025-08-11T20:09:31.970583,evuser009,charge_request,mobile,manchester,afternoon,normal,True,0.1,multi_policy,ABAC,Admin,valid,10.55,5.99,0.00,False
2025-08-11T20:09:31.987119,evuser009,view_usage,tablet,birmingham,off_hours,normal,True,0.30000000000000004,multi_policy,RBAC,User,spoof,10.37,5.60,0.00,False
2025-08-11T20:09:32.003085,evuser_attacker_attacker_1901,override_control,spoofed_device,unknown,evening,anomalous,False,0.8,multi_policy,RBAC,User,spoof,10.15,7.18,0.00,False
2025-08-11T20:09:32.020406,evuser003,access_battery,mobile,birmingham,evening,normal,True,0.1,multi_policy,MAC,User,valid,10.28,8.15,0.00,False
2025-08-11T20:09:32.038836,evuser_attacker_attacker_2015,charge_request,spoofed_device,foreign,evening,anomalous,False,0.8,multi_policy,RBAC,Fleet,escalation,10.30,8.98,0.00,False
2025-08-11T20:09:32.058116,evuser007,charge_request,tablet,london,evening,normal,True,0.1,multi_policy,ABAC,User,valid,10.21,5.58,0.00,False
2025-08-11T20:09:32.073902,evuser001,view_usage,mobile,london,morning,normal,True,0.1,multi_policy,RBAC,User,valid,10.36,7.02,0.00,False
2025-08-11T20:09:32.091280,evuser_attacker_attacker_825,alter_billing,spoofed_device,unknown,afternoon,anomalous,False,0.8,multi_policy,ABAC,User,odd_hour,10.09,5.60,0.00,False
2025-08-11T20:09:32.106969,evuser_attacker_attacker_1159,override_control,unknown_device,unknown,afternoon,anomalous,False,0.8,multi_policy,DAC,User,geo,10.50,8.77,0.00,False
2025-08-11T20:09:32.126235,evuser008,view_usage,dashboard,manchester,evening,normal,True,0.1,multi_policy,MAC,Fleet,valid,10.19,8.10,0.00,False
2025-08-11T20:09:32.144524,evuser004,access_battery,dashboard,birmingham,morning,normal,True,0.1,multi_policy,RBAC,User,valid,10.18,8.47,0.00,False
2025-08-11T20:09:32.163173,evuser_attacker_attacker_2049,alter_billing,unknown_device,unknown,evening,anomalous,False,0.8,multi_policy,ABAC,User,escalation,10.57,6.02,0.00,False
2025-08-11T20:09:32.179762,evuser002,charge_request,dashboard,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,User,valid,10.48,10.12,0.00,False
2025-08-11T20:09:32.200369,evuser014,charge_request,tablet,london,evening,normal,True,0.1,multi_policy,ABAC,User,valid,10.42,9.14,0.00,False
2025-08-11T20:09:32.219934,evuser016,charge_request,dashboard,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,Admin,valid,10.63,9.68,0.00,False
2025-08-11T20:09:32.240242,evuser_attacker_attacker_1718,override_control,unknown_device,unknown,evening,anomalous,False,0.8,multi_policy,ABAC,User,geo,10.18,6.80,0.00,False
2025-08-11T20:09:32.257219,evuser012,charge_request,tablet,london,morning,normal,True,0.1,multi_policy,DAC,Admin,valid,10.53,5.56,0.00,False
2025-08-11T20:09:32.273314,evuser_attacker_attacker_2380,alter_billing,spoofed_device,unknown,evening,anomalous,False,0.8,multi_policy,RBAC,User,geo,10.32,10.26,0.00,False
2025-08-11T20:09:32.293897,evuser011,charge_request,tablet,manchester,off_hours,normal,True,0.30000000000000004,multi_policy,ABAC,User,valid,10.07,8.71,0.00,False
2025-08-11T20:09:32.312678,evuser001,view_usage,tablet,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,User,valid,10.22,9.64,0.00,False
2025-08-11T20:09:32.332543,evuser004,view_usage,mobile,london,morning,normal,True,0.1,multi_policy,ABAC,User,valid,11.02,6.77,0.00,False
2025-08-11T20:09:32.350334,evuser_attacker_attacker_2019,alter_billing,unknown_device,unknown,evening,anomalous,False,0.8,multi_policy,MAC,User,geo,10.25,9.81,0.00,False
2025-08-11T20:09:32.370394,evuser007,view_usage,dashboard,birmingham,night,normal,True,0.30000000000000004,multi_policy,RBAC,User,valid,10.55,6.78,0.00,False
2025-08-11T20:09:32.387722,evuser018,charge_request,tablet,birmingham,off_hours,normal,True,0.30000000000000004,multi_policy,ABAC,Admin,valid,10.45,6.23,0.00,False
2025-08-11T20:09:32.404396,evuser005,charge_request,dashboard,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,User,valid,10.37,7.06,0.00,False
2025-08-11T20:09:32.421828,evuser019,charge_request,dashboard,manchester,afternoon,normal,True,0.1,multi_policy,RBAC,User,valid,10.34,5.58,0.00,False
2025-08-11T20:09:32.437750,evuser_attacker_attacker_2075,alter_billing,spoofed_device,foreign,evening,anomalous,False,0.8,multi_policy,ABAC,User,geo,10.47,9.74,0.00,False
2025-08-11T20:09:32.457960,evuser_attacker_attacker_1577,override_control,unknown_device,foreign,afternoon,anomalous,False,0.8,multi_policy,ABAC,User,odd_hour,10.22,8.69,0.00,False
2025-08-11T20:09:32.476875,evuser019,view_usage,mobile,london,evening,normal,True,0.1,multi_policy,MAC,Fleet,valid,10.26,8.88,0.00,False
2025-08-11T20:09:32.496015,evuser018,access_battery,tablet,birmingham,night,normal,True,0.30000000000000004,multi_policy,MAC,Admin,valid,10.35,9.96,0.00,False
2025-08-11T20:09:32.516324,evuser_attacker_attacker_491,override_control,unknown_device,unknown,morning,anomalous,False,0.8,multi_policy,RBAC,User,geo,10.50,6.57,0.00,False
2025-08-11T20:09:32.533399,evuser_attacker_attacker_3869,override_control,unknown_device,unknown,off_hours,anomalous,False,1.0,multi_policy,ABAC,User,replay,10.53,7.36,0.00,False
2025-08-11T20:09:32.551285,evuser016,charge_request,mobile,london,morning,normal,True,0.1,multi_policy,ABAC,User,valid,10.55,10.08,0.00,False
2025-08-11T20:09:32.571913,evuser011,charge_request,mobile,birmingham,morning,normal,True,0.1,multi_policy,RBAC,User,valid,10.20,9.46,0.00,False
2025-08-11T20:09:32.591576,evuser013,access_battery,tablet,manchester,off_hours,normal,True,0.30000000000000004,multi_policy,RBAC,Admin,valid,10.30,10.16,0.00,False
2025-08-11T20:09:32.612036,evuser017,charge_request,dashboard,birmingham,morning,normal,True,0.1,multi_policy,MAC,User,valid,10.75,7.68,0.00,False
2025-08-11T20:09:32.630463,evuser001,access_battery,tablet,manchester,afternoon,normal,True,0.1,multi_policy,DAC,User,valid,10.55,7.35,0.00,False
